Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         04703Z6 Dilation of Abdominal Aorta, Bifurcation, Percutaneous Approach
Add:         0470446 Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0470456 Dilation of Abdominal Aorta, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047045Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0470466 Dilation of Abdominal Aorta, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047046Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0470476 Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047047Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704D6 Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         04704E6 Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704EZ Dilation of Abdominal Aorta with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704F6 Dilation of Abdominal Aorta, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704FZ Dilation of Abdominal Aorta with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704G6 Dilation of Abdominal Aorta, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704GZ Dilation of Abdominal Aorta with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04704Z6 Dilation of Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach
Add:         0471046 Dilation of Celiac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         0471056 Dilation of Celiac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047105Z Dilation of Celiac Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0471066 Dilation of Celiac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047106Z Dilation of Celiac Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0471076 Dilation of Celiac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047107Z Dilation of Celiac Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         04710D6 Dilation of Celiac Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         04710E6 Dilation of Celiac Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         04710EZ Dilation of Celiac Artery with Two Intraluminal Devices, Open Approach
Add:         04710F6 Dilation of Celiac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         04710FZ Dilation of Celiac Artery with Three Intraluminal Devices, Open Approach
Add:         04710G6 Dilation of Celiac Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         04710GZ Dilation of Celiac Artery with Four or More Intraluminal Devices, Open Approach
Add:         04710Z6 Dilation of Celiac Artery, Bifurcation, Open Approach
Add:         0471346 Dilation of Celiac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0471356 Dilation of Celiac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047135Z Dilation of Celiac Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0471366 Dilation of Celiac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047136Z Dilation of Celiac Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0471376 Dilation of Celiac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047137Z Dilation of Celiac Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         04713D6 Dilation of Celiac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         04713E6 Dilation of Celiac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         04713EZ Dilation of Celiac Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         04713F6 Dilation of Celiac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         04713FZ Dilation of Celiac Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         04713G6 Dilation of Celiac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         04713GZ Dilation of Celiac Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         04713Z6 Dilation of Celiac Artery, Bifurcation, Percutaneous Approach
Add:         0471446 Dilation of Celiac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0471456 Dilation of Celiac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047145Z Dilation of Celiac Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0471466 Dilation of Celiac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047146Z Dilation of Celiac Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0471476 Dilation of Celiac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047147Z Dilation of Celiac Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714D6 Dilation of Celiac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         04714E6 Dilation of Celiac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714EZ Dilation of Celiac Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714F6 Dilation of Celiac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714FZ Dilation of Celiac Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714G6 Dilation of Celiac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714GZ Dilation of Celiac Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04714Z6 Dilation of Celiac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         0472046 Dilation of Gastric Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         0472056 Dilation of Gastric Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047205Z Dilation of Gastric Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0472066 Dilation of Gastric Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047206Z Dilation of Gastric Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0472076 Dilation of Gastric Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047207Z Dilation of Gastric Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         04720D6 Dilation of Gastric Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         04720E6 Dilation of Gastric Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         04720EZ Dilation of Gastric Artery with Two Intraluminal Devices, Open Approach
Add:         04720F6 Dilation of Gastric Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         04720FZ Dilation of Gastric Artery with Three Intraluminal Devices, Open Approach
Add:         04720G6 Dilation of Gastric Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         04720GZ Dilation of Gastric Artery with Four or More Intraluminal Devices, Open Approach
Add:         04720Z6 Dilation of Gastric Artery, Bifurcation, Open Approach
Add:         0472346 Dilation of Gastric Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0472356 Dilation of Gastric Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047235Z Dilation of Gastric Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0472366 Dilation of Gastric Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047236Z Dilation of Gastric Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0472376 Dilation of Gastric Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047237Z Dilation of Gastric Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         04723D6 Dilation of Gastric Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         04723E6 Dilation of Gastric Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         04723EZ Dilation of Gastric Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         04723F6 Dilation of Gastric Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         04723FZ Dilation of Gastric Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         04723G6 Dilation of Gastric Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         04723GZ Dilation of Gastric Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         04723Z6 Dilation of Gastric Artery, Bifurcation, Percutaneous Approach
Add:         0472446 Dilation of Gastric Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0472456 Dilation of Gastric Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047245Z Dilation of Gastric Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0472466 Dilation of Gastric Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047246Z Dilation of Gastric Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0472476 Dilation of Gastric Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047247Z Dilation of Gastric Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724D6 Dilation of Gastric Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         04724E6 Dilation of Gastric Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724EZ Dilation of Gastric Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724F6 Dilation of Gastric Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724FZ Dilation of Gastric Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724G6 Dilation of Gastric Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724GZ Dilation of Gastric Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         04724Z6 Dilation of Gastric Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         0473046 Dilation of Hepatic Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         0473056 Dilation of Hepatic Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047305Z Dilation of Hepatic Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0473066 Dilation of Hepatic Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047306Z Dilation of Hepatic Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0473076 Dilation of Hepatic Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047307Z Dilation of Hepatic Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         04730D6 Dilation of Hepatic Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         04730E6 Dilation of Hepatic Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         04730EZ Dilation of Hepatic Artery with Two Intraluminal Devices, Open Approach
Add:         04730F6 Dilation of Hepatic Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         04730FZ Dilation of Hepatic Artery with Three Intraluminal Devices, Open Approach
Add:         04730G6 Dilation of Hepatic Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         04730GZ Dilation of Hepatic Artery with Four or More Intraluminal Devices, Open Approach
Add:         04730Z6 Dilation of Hepatic Artery, Bifurcation, Open Approach
Add:         0473346 Dilation of Hepatic Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0473356 Dilation of Hepatic Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047335Z Dilation of Hepatic Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0473366 Dilation of Hepatic Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
